GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
713	2.16e-05	5.11e-08	0.5313	5.4473392	2.89430924	848.61	C1QB	complement C1q B chain
100128081	2.58e-05	6.28e-08	0.4823	-5.4106133	-2.60968955	43.09	JAZF1-AS1	JAZF1 antisense RNA 1
54765	2.75e-05	6.87e-08	0.1039	5.3944731	0.5603876	2752.85	TRIM44	tripartite motif containing 44
100147744	2.91e-05	7.47e-08	0.5971	-5.3794988	-3.21235421	15.95	RNU7-1	RNA, U7 small nuclear 1
958	3.50e-05	9.24e-08	0.3456	5.3410457	1.84572151	665.9	CD40	CD40 molecule
141	3.73e-05	1.01e-07	0.1633	5.3249435	0.86943192	1136.63	ADPRH	ADP-ribosylarginine hydrolase
257415	3.86e-05	1.07e-07	0.1891	-5.3144406	-1.00507476	236.77	FAM133B	family with sequence similarity 133 member B
3337	4.36e-05	1.24e-07	0.8586	-5.2875141	-4.54010575	20710.66	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1
6844	5.30e-05	1.54e-07	0.1686	-5.2474303	-0.88466804	469.93	VAMP2	vesicle associated membrane protein 2
4509	5.68e-05	1.69e-07	0.2017	-5.2305111	-1.0551389	1530.31	ATP8	ATP synthase F0 subunit 8
4537	5.95e-05	1.81e-07	0.3788	-5.2177237	-1.97628103	525.7	ND3	NADH dehydrogenase subunit 3
6060	7.19e-05	2.24e-07	0.6207	-5.1785023	-3.21453255	10.79	RNU1-4	RNA, U1 small nuclear 4
84456	7.62e-05	2.42e-07	0.2894	5.1636589	1.49411544	146.27	L3MBTL3	L3MBTL histone methyl-lysine binding protein 3
1806	8.95e-05	2.91e-07	0.1336	5.1293316	0.68509339	8879.45	DPYD	dihydropyrimidine dehydrogenase
8685	9.54e-05	3.16e-07	0.4744	5.1133854	2.4256839	1584.39	MARCO	macrophage receptor with collagenous structure
9867	9.54e-05	3.23e-07	0.1222	5.1096998	0.62434249	4036.9	PJA2	praja ring finger ubiquitin ligase 2
8332	9.98e-05	3.44e-07	0.7061	-5.0974679	-3.5990793	14.75	H2AC16	H2A clustered histone 16
30817	1.05e-04	3.69e-07	0.1461	5.084236	0.74292719	3776.03	ADGRE2	adhesion G protein-coupled receptor E2
3108	1.12e-04	4.00e-07	0.1532	5.0688762	0.77656939	7134.25	HLA-DMA	major histocompatibility complex, class II, DM alpha
3303	1.52e-04	5.65e-07	0.8895	-5.0027854	-4.45015425	53803.25	HSPA1A	heat shock protein family A (Hsp70) member 1A
5573	1.52e-04	5.59e-07	0.1345	5.0048123	0.67302815	8490.19	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha
4539	1.59e-04	6.04e-07	0.2288	-4.9899057	-1.14155533	1589.63	ND4L	NADH dehydrogenase subunit 4L
100873932	1.62e-04	6.25e-07	0.1759	4.9834179	0.87669227	245.61	DPYD-AS1	DPYD antisense RNA 1
26829	1.63e-04	6.39e-07	0.8171	-4.9790998	-4.06844172	14.48	RNU5E-1	RNA, U5E small nuclear 1
9553	1.70e-04	6.81e-07	0.1288	-4.9665835	-0.63984865	941.22	MRPL33	mitochondrial ribosomal protein L33
83692	1.70e-04	6.92e-07	0.1966	4.9636715	0.97601272	623.8	CD99L2	CD99 molecule like 2
10542	1.70e-04	7.03e-07	0.108	-4.9604459	-0.53575257	1573.81	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
9682	1.86e-04	7.81e-07	0.2241	4.9400436	1.10689905	536.32	KDM4A	lysine demethylase 4A
58490	1.89e-04	8.07e-07	0.1958	4.9336893	0.96603665	465.11	RPRD1B	regulation of nuclear pre-mRNA domain containing 1B
105374746	2.02e-04	9.00e-07	0.3914	-4.9123334	-1.92255762	58.31	LOC105374746	uncharacterized LOC105374746
9716	2.02e-04	9.02e-07	0.1789	4.9118488	0.8785996	1609.96	AQR	aquarius intron-binding spliceosomal factor
79168	2.02e-04	8.99e-07	0.1688	4.9125017	0.82942052	3337.79	LILRA6	leukocyte immunoglobulin like receptor A6
7039	2.12e-04	9.77e-07	0.3507	4.8962519	1.71708605	84.38	TGFA	transforming growth factor alpha
54732	2.12e-04	9.71e-07	0.1607	4.8974194	0.7872168	2284.65	TMED9	transmembrane p24 trafficking protein 9
149628	2.30e-04	1.09e-06	0.8506	-4.8752257	-4.14670185	18.72	PYHIN1	pyrin and HIN domain family member 1
27297	2.30e-04	1.07e-06	0.1613	-4.8778752	-0.78703227	378.03	CRCP	CGRP receptor component
8826	2.31e-04	1.11e-06	0.12	4.8710109	0.58448089	21551.96	IQGAP1	IQ motif containing GTPase activating protein 1
1314	2.35e-04	1.14e-06	0.1362	4.8652928	0.66260439	9773.65	COPA	COPI coat complex subunit alpha
23642	2.37e-04	1.17e-06	0.5232	-4.8609297	-2.54338082	61.91	SNHG1	small nucleolar RNA host gene 1
8341	2.42e-04	1.21e-06	0.5216	-4.8541383	-2.53203701	21.77	H2BC15	H2B clustered histone 15
105379524	2.60e-04	1.32e-06	0.4922	-4.8364941	-2.38037384	37.51	LOC105379524	uncharacterized LOC105379524
60412	2.68e-04	1.38e-06	0.1337	4.8281796	0.64574972	1033.17	EXOC4	exocyst complex component 4
84918	2.83e-04	1.47e-06	0.4844	4.8146037	2.3321095	37.73	LRP11	LDL receptor related protein 11
714	2.85e-04	1.51e-06	0.6187	4.8105144	2.97620274	345.7	C1QC	complement C1q C chain
7045	3.02e-04	1.61e-06	0.1706	4.7967049	0.81826788	11087.6	TGFBI	transforming growth factor beta induced
10982	3.04e-04	1.65e-06	0.1108	4.792418	0.5308563	2513.4	MAPRE2	microtubule associated protein RP/EB family member 2
4514	3.04e-04	1.66e-06	0.2185	-4.7903674	-1.04674564	23305.14	COX3	cytochrome c oxidase subunit III
3725	3.08e-04	1.71e-06	0.4697	-4.7844466	-2.24726406	6414.8	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
23670	3.08e-04	1.75e-06	0.2483	4.7807593	1.18683265	1140.92	CEMIP2	cell migration inducing hyaluronidase 2
727676	3.08e-04	1.75e-06	0.6458	-4.7804779	-3.08724017	39.2	SNORD118	small nucleolar RNA, C/D box 118
8263	3.09e-04	1.78e-06	0.188	4.7774821	0.89815965	763.03	F8A1	coagulation factor VIII associated 1
6391	3.20e-04	1.86e-06	0.1308	4.7677436	0.62372267	1268.67	SDHC	succinate dehydrogenase complex subunit C
2865	3.36e-04	1.98e-06	0.4619	4.755808	2.19663871	177.58	FFAR3	free fatty acid receptor 3
1675	3.55e-04	2.12e-06	0.1976	4.742101	0.93688008	5861.86	CFD	complement factor D
2037	4.01e-04	2.42e-06	0.3482	4.7151439	1.64172033	579.45	EPB41L2	erythrocyte membrane protein band 4.1 like 2
25788	4.20e-04	2.56e-06	1.3367	4.7036815	6.28728838	7.86	RAD54B	RAD54 homolog B
29121	4.30e-04	2.65e-06	0.2984	-4.6962865	-1.40129944	100.6	CLEC2D	C-type lectin domain family 2 member D
26828	4.75e-04	2.99e-06	0.567	-4.6717909	-2.64890572	21.78	RNU5F-1	RNA, U5F small nuclear 1
148823	4.75e-04	2.99e-06	1.0589	4.671412	4.94660408	50.9	GCSAML	germinal center associated signaling and motility like
196527	4.95e-04	3.15e-06	0.1373	4.6609774	0.63985216	2562.73	ANO6	anoctamin 6
26871	5.01e-04	3.22e-06	0.635	-4.656275	-2.95690649	14.71	RNU1-1	RNA, U1 small nuclear 1
285672	5.11e-04	3.32e-06	0.1718	-4.6498545	-0.79886373	248.83	SREK1IP1	SREK1 interacting protein 1
7138	5.21e-04	3.42e-06	0.6678	4.6437869	3.10111068	220.39	TNNT1	troponin T1, slow skeletal type
11322	5.66e-04	3.75e-06	0.1216	4.6245174	0.56244359	1971.15	TMC6	transmembrane channel like 6
64101	6.03e-04	4.04e-06	0.4487	-4.6093403	-2.0682072	24.57	LRRC4	leucine rich repeat containing 4
2866	6.12e-04	4.15e-06	0.4987	4.603838	2.2960576	75.16	GPR42	G protein-coupled receptor 42
2033	6.12e-04	4.18e-06	0.1355	-4.602254	-0.62381778	1580.22	EP300	E1A binding protein p300
26870	6.27e-04	4.33e-06	0.6594	-4.5950199	-3.02988391	10.66	RNU1-2	RNA, U1 small nuclear 2
26098	6.42e-04	4.48e-06	0.1338	-4.5879697	-0.61373065	391.89	EDRF1	erythroid differentiation regulatory factor 1
3688	7.76e-04	5.46e-06	0.1373	4.5462117	0.62428949	6089.75	ITGB1	integrin subunit beta 1
91272	7.77e-04	5.52e-06	0.2601	-4.5440062	-1.18201723	99.03	BOD1	biorientation of chromosomes in cell division 1
5437	7.77e-04	5.57e-06	0.1731	-4.5419874	-0.78623653	195.73	POLR2H	RNA polymerase II, I and III subunit H
8367	8.42e-04	6.09e-06	0.5791	-4.5231611	-2.61926175	16.47	H4C5	H4 clustered histone 5
5002	9.43e-04	6.89e-06	0.1956	4.4970753	0.87976089	786.79	SLC22A18	solute carrier family 22 member 18
113219467	9.73e-04	7.17e-06	0.2549	-4.4884395	-1.14407189	1481.67	MIR12136	microRNA 12136
80727	9.82e-04	7.31e-06	0.1653	4.4845174	0.741433	2249.06	TTYH3	tweety family member 3
1183	1.00e-03	7.53e-06	0.7472	4.4780737	3.34616058	82.57	CLCN4	chloride voltage-gated channel 4
3705	1.06e-03	8.05e-06	0.1373	4.4638641	0.61306274	2925.16	ITPK1	inositol-tetrakisphosphate 1-kinase
7162	1.09e-03	8.30e-06	0.6808	4.4572181	3.03434317	78.43	TPBG	trophoblast glycoprotein
3128	1.17e-03	9.04e-06	0.2355	4.4389529	1.04523938	4421.94	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)
2186	1.19e-03	9.32e-06	0.1716	-4.4324239	-0.76079132	509.05	BPTF	bromodomain PHD finger transcription factor
54757	1.19e-03	9.29e-06	0.136	4.4331622	0.60293014	4075.73	FAM20A	FAM20A golgi associated secretory pathway pseudokinase
6347	1.19e-03	9.46e-06	0.9491	4.4292618	4.2038989	1195.87	CCL2	C-C motif chemokine ligand 2
4574	1.19e-03	9.54e-06	0.258	-4.4274415	-1.14246247	738.34	TRNS1	tRNA-Ser
3304	1.21e-03	1.00e-05	1.0745	-4.4172446	-4.74631252	45837.43	HSPA1B	heat shock protein family A (Hsp70) member 1B
113246	1.21e-03	9.99e-06	0.4428	-4.4172933	-1.95615474	179.83	C12orf57	chromosome 12 open reading frame 57
105370152	1.21e-03	9.88e-06	0.2802	-4.4198555	-1.23847668	157.18	LOC105370152	uncharacterized LOC105370152
55614	1.21e-03	9.77e-06	0.1488	4.4222151	0.65823148	391.42	KIF16B	kinesin family member 16B
6942	1.28e-03	1.06e-05	0.2685	-4.4036868	-1.18252897	101.62	TCF20	transcription factor 20
55920	1.36e-03	1.14e-05	0.2172	4.388473	0.95300247	3360.9	RCC2	regulator of chromosome condensation 2
3455	1.45e-03	1.23e-05	0.1179	4.3729427	0.51558373	1673.39	IFNAR2	interferon alpha and beta receptor subunit 2
1495	1.45e-03	1.24e-05	0.1553	4.3709714	0.67866433	4055.04	CTNNA1	catenin alpha 1
976	1.45e-03	1.25e-05	0.2619	4.3692313	1.14450018	13355.41	ADGRE5	adhesion G protein-coupled receptor E5
105375740	1.58e-03	1.38e-05	0.3676	4.3471404	1.59815056	53.99	LOC105375740	uncharacterized LOC105375740
84314	1.58e-03	1.37e-05	0.3841	-4.3488181	-1.67041403	316.08	TMEM107	transmembrane protein 107
160760	1.68e-03	1.48e-05	0.2504	4.3320112	1.08452733	1205.98	PPTC7	protein phosphatase targeting COQ7
4513	1.74e-03	1.54e-05	0.1687	-4.3231473	-0.72936071	21962.48	COX2	cytochrome c oxidase subunit II
91607	1.75e-03	1.56e-05	0.2442	4.3200024	1.05484901	3282.95	SLFN11	schlafen family member 11
4121	1.77e-03	1.60e-05	0.1828	4.314962	0.78891709	1575.12	MAN1A1	mannosidase alpha class 1A member 1
11138	1.81e-03	1.64e-05	0.1701	4.3089443	0.73306081	2322.55	TBC1D8	TBC1 domain family member 8
2214	1.84e-03	1.71e-05	0.4497	4.300048	1.93373452	6366.26	FCGR3A	Fc gamma receptor IIIa
3123	1.84e-03	1.69e-05	0.2458	4.302352	1.05772037	27763.78	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
64847	1.84e-03	1.70e-05	0.4471	-4.301159	-1.92326189	399.26	SPATA20	spermatogenesis associated 20
5222	1.94e-03	1.81e-05	0.4297	4.2874447	1.8423718	29.7	PGA5	pepsinogen A5
220594	1.94e-03	1.82e-05	0.7844	-4.2854196	-3.36161218	15.16	USP32P2	ubiquitin specific peptidase 32 pseudogene 2
55350	1.99e-03	1.88e-05	0.4784	-4.2782068	-2.04657292	328.04	VNN3P	vanin 3, pseudogene
79651	2.00e-03	1.91e-05	0.1767	4.2751082	0.75554572	2801.22	RHBDF2	rhomboid 5 homolog 2
124245	2.02e-03	1.94e-05	0.129	4.2720997	0.55090763	604.93	ZC3H18	zinc finger CCCH-type containing 18
6659	2.04e-03	1.99e-05	0.328	-4.2665436	-1.39945506	673.43	SOX4	SRY-box transcription factor 4
3710	2.04e-03	1.98e-05	0.6036	-4.2674038	-2.57599424	78.66	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
780851	2.04e-03	2.00e-05	0.58	-4.264777	-2.47371531	185.36	SNORD3A	small nucleolar RNA, C/D box 3A
5265	2.05e-03	2.03e-05	0.1671	4.2617035	0.71204754	46203.3	SERPINA1	serpin family A member 1
25798	2.06e-03	2.05e-05	0.2311	-4.2598266	-0.98449356	445.91	BRI3	brain protein I3
1521	2.06e-03	2.06e-05	0.3895	-4.2585292	-1.6588523	91.88	CTSW	cathepsin W
102723765	2.06e-03	2.08e-05	0.662	-4.2566256	-2.81783389	28.8	LOC102723765	uncharacterized LOC102723765
102724748	2.07e-03	2.11e-05	0.2115	4.2524118	0.89929602	188.45	LOC102724748	
5257	2.07e-03	2.11e-05	0.1693	4.2527037	0.71998514	2344.15	PHKB	phosphorylase kinase regulatory subunit beta
51228	2.09e-03	2.14e-05	0.1451	-4.2492707	-0.61661985	1890.47	GLTP	glycolipid transfer protein
10461	2.14e-03	2.22e-05	0.587	4.2417547	2.49006882	326.16	MERTK	MER proto-oncogene, tyrosine kinase
388796	2.14e-03	2.23e-05	0.3912	-4.240598	-1.65912868	154.59	SNHG17	small nucleolar RNA host gene 17
4841	2.19e-03	2.29e-05	0.0764	4.2343646	0.32346529	4702.87	NONO	non-POU domain containing octamer binding
7123	2.23e-03	2.36e-05	0.2626	-4.2274186	-1.11017393	70.45	CLEC3B	C-type lectin domain family 3 member B
145567	2.23e-03	2.35e-05	0.5293	4.2286883	2.23828273	91.87	TTC7B	tetratricopeptide repeat domain 7B
23179	2.36e-03	2.52e-05	0.6623	4.2130139	2.79008899	911.62	RGL1	ral guanine nucleotide dissociation stimulator like 1
10223	2.49e-03	2.69e-05	1.0029	4.1984752	4.21044308	18.21	GPA33	glycoprotein A33
4043	2.49e-03	2.69e-05	0.1692	4.1980416	0.71018525	5162.51	LRPAP1	LDL receptor related protein associated protein 1
2203	2.52e-03	2.75e-05	0.2018	4.1933461	0.84608165	2127.53	FBP1	fructose-bisphosphatase 1
2131	2.56e-03	2.83e-05	0.1907	4.1865871	0.79849581	973.17	EXT1	exostosin glycosyltransferase 1
3502	2.56e-03	2.85e-05	1.5664	4.1854932	6.55620747	1161.28	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)
9266	2.56e-03	2.83e-05	0.1615	4.1870332	0.67611048	651.73	CYTH2	cytohesin 2
3311	2.58e-03	2.88e-05	0.7694	-4.1828393	-3.21847551	867.66	HSPA7	heat shock protein family A (Hsp70) member 7 (pseudogene)
23385	2.62e-03	2.95e-05	0.1107	4.1769482	0.46219407	4868.8	NCSTN	nicastrin
1508	2.62e-03	2.96e-05	0.1342	4.1763614	0.56044999	47198.71	CTSB	cathepsin B
929	2.76e-03	3.13e-05	0.1571	4.1634743	0.65422921	38145.12	CD14	CD14 molecule
102466854	2.87e-03	3.29e-05	0.4412	-4.1526896	-1.8323607	137.83	MIR7705	microRNA 7705
780854	2.89e-03	3.33e-05	0.5766	-4.1499527	-2.39288697	56.35	SNORD3D	small nucleolar RNA, C/D box 3D
4599	2.92e-03	3.38e-05	0.8832	4.1461312	3.66199891	11015.88	MX1	MX dynamin like GTPase 1
695	2.95e-03	3.44e-05	0.1632	4.1424049	0.6759436	2540.12	BTK	Bruton tyrosine kinase
692084	2.97e-03	3.48e-05	0.7115	-4.139651	-2.94554356	39.61	SNORD13	small nucleolar RNA, C/D box 13
10148	3.10e-03	3.65e-05	0.4701	4.1286336	1.94078274	27.02	EBI3	Epstein-Barr virus induced 3
26869	3.43e-03	4.09e-05	0.661	-4.1025836	-2.71164892	9.77	RNU1-3	RNA, U1 small nuclear 3
1318	3.43e-03	4.08e-05	0.2328	4.1027247	0.95501438	2696.94	SLC31A2	solute carrier family 31 member 2
107985219	3.58e-03	4.28e-05	0.1839	4.0917687	0.7524123	184.06	LOC107985219	uncharacterized LOC107985219
90637	3.64e-03	4.40e-05	0.583	-4.0852763	-2.38152676	530.89	ZFAND2A	zinc finger AN1-type containing 2A
6778	3.64e-03	4.42e-05	0.1128	4.0845695	0.46056372	6763.34	STAT6	signal transducer and activator of transcription 6
2621	3.64e-03	4.43e-05	0.4167	4.0835798	1.70166756	493.08	GAS6	growth arrest specific 6
54	3.85e-03	4.71e-05	0.4241	4.0696577	1.72605992	275.15	ACP5	acid phosphatase 5, tartrate resistant
10025	3.86e-03	4.76e-05	0.1757	4.0673448	0.71443151	1323.75	MED16	mediator complex subunit 16
102724146	3.87e-03	4.79e-05	0.2716	-4.0657619	-1.1042888	77.65	LOC102724146	uncharacterized LOC102724146
51056	4.27e-03	5.31e-05	0.4692	4.0414713	1.89627896	9688.59	LAP3	leucine aminopeptidase 3
4719	4.60e-03	5.82e-05	0.1366	4.0197919	0.54891238	1280.45	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
5530	4.60e-03	5.80e-05	0.1757	-4.0207025	-0.70646197	388.19	PPP3CA	protein phosphatase 3 catalytic subunit alpha
643834	4.60e-03	5.82e-05	0.3484	4.0200201	1.40048056	39.27	PGA3	pepsinogen A3
23335	4.69e-03	5.97e-05	0.1858	4.0141527	0.74565559	846.88	WDR7	WD repeat domain 7
9040	4.73e-03	6.05e-05	0.1944	-4.0108885	-0.77954514	307.11	UBE2M	ubiquitin conjugating enzyme E2 M
3913	4.90e-03	6.30e-05	0.3815	4.0013732	1.52653387	358.39	LAMB2	laminin subunit beta 2
152137	4.92e-03	6.35e-05	0.2347	3.9993245	0.93881532	673.03	CCDC50	coiled-coil domain containing 50
410	4.98e-03	6.47e-05	0.2209	3.9949974	0.88230347	351.25	ARSA	arylsulfatase A
23279	5.13e-03	6.70e-05	0.2027	3.9867848	0.80806253	1027.93	NUP160	nucleoporin 160
51564	5.15e-03	6.76e-05	0.2386	-3.9845356	-0.95066514	528.58	HDAC7	histone deacetylase 7
100422885	5.26e-03	6.95e-05	0.1707	-3.9780517	-0.67913881	507.61	MIR1244-2	microRNA 1244-2
100529251	5.26e-03	6.97e-05	0.1713	-3.9772957	-0.68117495	404.43	CKLF-CMTM1	CKLF-CMTM1 readthrough
84034	5.27e-03	7.03e-05	0.148	3.9753832	0.58833852	12207.71	EMILIN2	elastin microfibril interfacer 2
29116	5.57e-03	7.46e-05	0.2789	-3.9611351	-1.10475235	836.23	MYLIP	myosin regulatory light chain interacting protein
100874530	5.71e-03	7.68e-05	0.6837	3.954062	2.70325213	690.66	APOBEC3B-AS1	APOBEC3B antisense RNA 1
55277	5.72e-03	7.74e-05	0.3409	3.9524136	1.34720232	54.54	FGGY	FGGY carbohydrate kinase domain containing
55754	5.72e-03	7.85e-05	0.1283	3.949028	0.50663864	3907.08	TMEM30A	transmembrane protein 30A
5638	5.72e-03	7.85e-05	0.7226	3.9489368	2.85360526	26.98	PRRG1	proline rich and Gla domain 1
474383	5.72e-03	7.80e-05	0.2414	3.9503265	0.95379662	302.62	F8A2	coagulation factor VIII associated 2
4512	5.73e-03	7.90e-05	0.1771	-3.9473125	-0.69917517	92213.49	COX1	cytochrome c oxidase subunit I
10855	5.73e-03	7.98e-05	0.3183	3.944959	1.25559288	1855.84	HPSE	heparanase
780852	5.73e-03	7.99e-05	0.5661	-3.9448143	-2.23323058	84.03	SNORD3B-2	small nucleolar RNA, C/D box 3B-2
100189122	5.74e-03	8.06e-05	0.9682	-3.9425175	-3.81730417	9.46	TRK-TTT3-1	tRNA-Lys (anticodon TTT) 3-1
10844	5.74e-03	8.08e-05	0.1854	3.9419839	0.73086153	1469.68	TUBGCP2	tubulin gamma complex associated protein 2
4549	5.92e-03	8.37e-05	0.3173	-3.9335241	-1.24805919	6157.45	RNR1	s-rRNA
643847	5.95e-03	8.45e-05	0.3622	3.9311768	1.42378216	40.52	PGA4	pepsinogen A4
22838	5.97e-03	8.52e-05	0.2256	-3.9293468	-0.88637154	139.57	RNF44	ring finger protein 44
107984570	6.04e-03	8.66e-05	0.4661	-3.9254014	-1.82965593	15.36	LINC00444	long intergenic non-protein coding RNA 444
55004	6.20e-03	8.94e-05	0.1401	-3.9177609	-0.54881129	1701.22	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
4707	6.26e-03	9.06e-05	0.2205	-3.9145322	-0.86301092	565.3	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1
9282	6.37e-03	9.27e-05	0.149	3.9090484	0.58240641	581.99	MED14	mediator complex subunit 14
6279	6.39e-03	9.34e-05	0.217	-3.9070276	-0.84776269	90760.45	S100A8	S100 calcium binding protein A8
1397	6.54e-03	9.65e-05	0.7924	3.8991439	3.08966738	34.8	CRIP2	cysteine rich protein 2
23265	6.54e-03	9.63e-05	0.1058	3.8998137	0.41251514	2452.2	EXOC7	exocyst complex component 7
112268278	6.54e-03	9.68e-05	0.5082	-3.8984147	-1.98126688	17.81	LOC112268278	
8481	6.60e-03	9.82e-05	0.3033	-3.8949703	-1.18145512	208.06	OFD1	OFD1 centriole and centriolar satellite protein
825	6.80e-03	1.03e-04	0.5919	-3.8845608	-2.29933424	347.02	CAPN3	calpain 3
125476	6.80e-03	1.02e-04	0.1836	3.8846999	0.71339741	284.48	INO80C	INO80 complex subunit C
9459	6.80e-03	1.03e-04	0.1661	3.8844158	0.64516189	3979.9	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
51385	6.81e-03	1.03e-04	0.3718	-3.882906	-1.44368318	256.73	ZNF589	zinc finger protein 589
746	6.87e-03	1.05e-04	0.166	-3.8795752	-0.64410006	571.27	TMEM258	transmembrane protein 258
101927765	6.90e-03	1.05e-04	0.3741	-3.8776747	-1.45050016	40.93	COA6-AS1	COA6 antisense RNA 1
441168	7.03e-03	1.08e-04	0.4916	3.8718571	1.90350754	1829.38	CALHM6	calcium homeostasis modulator family member 6
6599	7.15e-03	1.10e-04	0.1464	3.8667119	0.565902	1665.31	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
9252	7.17e-03	1.12e-04	0.2288	3.8629808	0.88399178	490.81	RPS6KA5	ribosomal protein S6 kinase A5
780853	7.17e-03	1.12e-04	0.5944	-3.8639719	-2.29663486	39.07	SNORD3C	small nucleolar RNA, C/D box 3C
474384	7.17e-03	1.12e-04	0.2454	3.8629065	0.94786928	297.07	F8A3	coagulation factor VIII associated 3
64121	7.24e-03	1.14e-04	0.2136	-3.8593463	-0.82419325	232.96	RRAGC	Ras related GTP binding C
83700	7.24e-03	1.14e-04	0.9301	3.858538	3.58893743	18.22	JAM3	junctional adhesion molecule 3
